Food_Code,Display_Name,Grains,Vegetables,Fruits,Milk,Meats,Solid_Fats,Added_Sugars,Calories,Saturated_Fats
26155190,Canned tuna (in water),0,0,0,0,1.99981,0,0,65.772,0.13041
26157140,Fried whiting (floured or breaded),0.5307,0,0,0.00609,2.36031,77.02371,1.97974,190.53,2.0619
26157140,Fried whiting (floured or breaded),0.69174,0,0,0.00794,3.07654,100.39642,2.58049,248.346,2.68758
26213140,Fried calamari (fried squid),0.23663,0,0,0.00263,1.05338,22.4775,0.88381,73.875,0.6975
26303150,Fried clams (battered),0.43758,0,0,0,1.31631,45.74394,0.69632,111.18,1.2138
26303160,"Steamed clams (oysters, mussels)",0,0,0,0,2.64525,0,0,69,0.0825
26303160,"Steamed clams (oysters, mussels)",0,0,0,0,6.59549,0,0,172.04,0.2057
26305160,Steamed crab (hard shell),0,0,0,0,1.69296,0,0,48.48,0.1056
26305160,Steamed crab (hard shell),0,0,0,0,3.98551,0,0,114.13,0.2486
26305160,Steamed crab (hard shell),0,0,0,0,4.19713,0,0,120.19,0.2618
26305160,Steamed crab (hard shell),0,0,0,0,1.90458,0,0,54.54,0.1188
26309160,Steamed or boiled crayfish,0,0,0,0,2.4689,0,0,56.7,0.119
26309160,Steamed or boiled crayfish,0,0,0,0,2,0,0,45.36,0.0952
26311160,Steamed or boiled lobster,0,0,0,0,5.18469,0,0,142.59,0.147
26311160,Steamed or boiled lobster,0,0,0,0,5.20233,0,0,143.075,0.1475
26311160,Steamed or boiled lobster,0,0,0,0,3.99962,0,0,109.998,0.1134
26315150,Fried oysters (breaded or battered),0.22308,0,0,0,0.67002,23.32746,0.35499,55.38,0.7696
26315150,Fried oysters (breaded or battered),0.06864,0,0,0,0.20616,7.17768,0.10923,17.04,0.2368
26315150,Fried oysters (breaded or battered),0.97297,0,0,0,2.92232,101.74361,1.54829,241.542,3.35664
26317120,Baked or broiled scallops,0,0,0,0,3.18749,25.11526,0,124.74,0.61425
26317120,Baked or broiled scallops,0,0,0,0,0.43849,3.45501,0,17.16,0.0845
26317120,Baked or broiled scallops,0,0,0,0,4,30.13832,0,149.688,0.7371
26317140,Fried scallops (floured or breaded),0.4087,0,0,0.00469,1.81838,59.32917,1.52463,145.39,1.4807
